Categoria,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
circle,2.58456e-05,8.30909e-05,0.00030007,0.000121489,0.000106878,0.000145412,0.000348065,3.90568e-05,0.000159777,0.00021941,5.43993e-05,0.000165289,0.000141675,0.00031718,0.000139041,0.000163898,0.000291074,0.000383863,0.000217976,0.000158227,0.00053567,7.85545e-05,0.000320573,0.000273102,0.000150744
circle,0.0352312,0.0602104,0.0519602,0.078562,0.0387524,0.0924298,0.0201491,0.0270661,0.103148,0.0198575,0.0231911,0.111604,0.0180163,0.0209098,0.0288373,0.118405,0.0102108,0.0177591,0.0382324,0.123971,0.00800233,0.00625223,0.0117366,0.0478545,0.128599
circle,0.0226528,0.0384606,0.0319451,0.0499468,0.0214718,0.0584348,0.00320853,0.00947517,0.0647986,0.0095891,0.00246619,0.0696386,0.017403,0.0156988,0.0134771,0.0733731,0.0135469,0.0165545,0.0232546,0.0762962,0.00144491,0.00563364,0.0139044,0.0317325,0.0786172
circle,0.00179686,0.0033201,0.0035714,0.00448056,0.00267534,0.00531836,0.000547347,0.00131147,0.00592313,0.00226609,0.000433681,0.00637137,0.00170482,0.0025082,0.00130616,0.00672008,0.00173254,0.00169355,0.00208521,0.00700943,0.00589158,0.00496861,0.00124885,0.0025781,0.00726651
circle,0.0376796,0.0663669,0.0639695,0.0882854,0.0515768,0.105076,0.0244723,0.0365777,0.118037,0.0273388,0.0274745,0.12815,0.0343288,0.0362179,0.0315058,0.136135,0.0257324,0.0381691,0.0434465,0.142512,0.0139668,0.0155399,0.0346253,0.0568103,0.147657
circle,0.0301994,0.0488988,0.0307634,0.060668,0.00964993,0.0683191,0.0152316,0.0100566,0.0734778,0.0192689,0.0249205,0.0770875,0.00618285,0.0132459,0.0365814,0.0797053,0.00863443,0.00458677,0.0455554,0.0816681,0.0111591,0.0137229,0.00940706,0.0524789,0.0831851
circle,0.0379525,0.0647605,0.0553146,0.0843346,0.0403311,0.0989909,0.0207741,0.0273381,0.110223,0.0224896,0.0243424,0.119017,0.0201293,0.0239594,0.0320459,0.12604,0.0104396,0.0201163,0.042998,0.13175,0.00925126,0.00724373,0.0129537,0.0537092,0.136469
circle,0.00139392,0.00294574,0.00479528,0.00448481,0.00620348,0.00598388,0.00683507,0.00739063,0.0074433,0.00745444,0.00847296,0.0088669,0.00825672,0.0081726,0.0094683,0.0102556,0.0088207,0.00872357,0.0103502,0.0116077,0.00775917,0.00841223,0.00891012,0.0110865,0.0129204
circle,0.000381237,0.000671049,0.000636663,0.000889093,0.000524928,0.00106619,0.000422363,0.000443527,0.00121687,0.000338212,0.000373269,0.0013492,0.000620813,0.000406825,0.000309272,0.00146833,0.000715791,0.000573553,0.000253359,0.00157769,0.000822436,0.00103326,0.000831299,0.00022912,0.00167967
circle,0.00199003,0.00350458,0.00351221,0.00474115,0.00339924,0.0058057,0.00308305,0.00332341,0.00675717,0.00334424,0.00331932,0.00763059,0.00396215,0.0038818,0.00338327,0.0084471,0.00450694,0.00449969,0.0034928,0.00921945,0.00450809,0.00468237,0.00504917,0.00362022,0.00995527
circle,0.0310577,0.0538863,0.0495276,0.0711882,0.0395899,0.0845644,0.0205411,0.0286771,0.0950933,0.0164253,0.0214261,0.103516,0.0170588,0.0187186,0.0222325,0.110358,0.0129502,0.0186382,0.0292011,0.115994,0.00596341,0.00741738,0.0155273,0.0379051,0.1207
circle,0.00153161,0.00204435,0.000418518,0.00246984,0.000606507,0.00292303,0.00400461,0.00169777,0.00344129,0.00683042,0.00313992,0.00402597,0.00778007,0.00882614,0.00461413,0.00466429,0.00699092,0.00981441,0.00597799,0.00534026,0.00477402,0.00499107,0.00998628,0.00716931,0.00603922
circle,0.000599544,0.000756653,0.00088804,0.000742827,0.00217746,0.000775034,0.00303584,0.00312455,0.000942479,0.00243887,0.00365126,0.00119478,0.000284236,0.00120751,0.0038741,0.001472,0.00130295,0.000241886,0.00390593,0.00174442,0.00198322,0.00199111,0.00115856,0.00383047,0.00200042
circle,0.000455751,0.000856995,0.00123115,0.00122998,0.0013756,0.00160115,0.00205996,0.00174981,0.00196841,0.00245355,0.00208105,0.00232059,0.00182743,0.00245876,0.00231313,0.00265086,0.00200558,0.00247986,0.00248173,0.00295742,0.00410584,0.00285138,0.00266333,0.0026282,0.0032414
circle,0.0617493,0.10033,0.0681032,0.125526,0.0394261,0.142746,0.0350858,0.0372963,0.154958,0.0360232,0.055118,0.163892,0.0197738,0.0275953,0.0744923,0.170598,0.0226029,0.0222216,0.0914246,0.175739,0.0222489,0.0261944,0.0296476,0.105732,0.179748
